cname,cename,cuname,acode,acname,bcode,bcname,hcode,hcname,stType,ecotype,exmarket,bexmarket,mananger,lere,domi,doshi,stockre,aldoshi,phone,email,tax,website,warea,sarea,area,postcode,signcoin,buscode,hnum,mnum,lesta,kusta,intro,buarea,sdate,bdate,fabei,onlinedate,faway,evalue,fasize,favalue,facost,fa_avalue,collcoin,firmon,firback,fircha,firsthigh,onliqian,inqian
瑞茂通供应链管理股份有限公司,"CCS Supply Chain Management Co., Ltd.",九发股份->G九发->九发股份->*ST九发->ST九发->九发股份,600180,瑞茂通,--,--,--,--,上交所主板A股,交运物流,上海证券交易所,批发和零售业-批发业,李群立,燕刚,张菊芳,燕刚,张靖哲,"周宇,赵建国",010-56735855,ir@ccsoln.com,010-59715880,www.ccsoln.com,北京市西城区宣武门外大街10号庄胜广场中央办公楼南翼11层,烟台市牟平区养马岛驼峰路84号,山东,100052,10.2亿,9137000070620948X8,538,14,北京市中伦律师事务所,中审众环会计师事务所(特殊普通合伙),"瑞茂通供应链管理股份有限公司是中国领先的大宗商品供应链管理服务专家。主营商品有煤炭、铁矿石、棉花等。公司员工近400人,拥有40余家分子公司。依托专业化的供应链管理服务和供应链平台服务,公司供应链管理业务已遍布全国主要煤炭生产区和消费区。2010年,公司开始涉足进口煤业务,分别在印度尼西亚、新加坡和中国香港成立公司/设立办事处,经营的进口煤炭品种包括印尼煤、南非煤和俄罗斯煤等。2012年8月,瑞茂通成功在上交所上市,成为中国A股板块的成员之一。2013年陆续投资设立了商业保理、融资租赁及供应链平台服务等公司,2015年伴随着“互联网+”的浪潮,易煤网正式上线,完成了商品板块、电商板块、供应链金融板块的战略布局,瑞茂通逐步构建起供应链管理+供应链平台+供应链金融的复合发展模式。我们坚信:一个朝着自己目标坚定前行的人,全世界都会为之让路!","前置许可经营项目:煤炭批发经营(有效期至2015年5月31日);一般经营项目:资产管理;煤炭信息咨询,煤炭供应链管理。",1998-06-25,1998-07-03,15,1998-06-08,网下定价发行,1.00,3200万,5.20,800万,1.66亿,1.58亿,16.35,16.88,70.59%,17.29,--,0.22%
云大科技有限责任公司,"UNIDA Co.,Ltd.",云大科技->*ST云大,--,--,--,--,--,--,--,--,上海证券交易所,--,李畅鸿,方瑞斌,王薇佳,方瑞斌,王薇佳,"丁峙,肖延龙,陆志明",0871-8350069,unida@eunida.com,0871-8315072,www.eunida.com,云南省昆明市国家高新技术产业开发区科医路59号,昆明市国家高新技术产业开发区科医路,云南,650106,3.48亿,91530000713400303A,0,17,北京德恒律师事务所,山东乾聚会计师事务所,--,"植物生长调节剂、农药、肥料的研究、开发、生产、经营;生物制品(不含管理商品)的研究、开发、生产、经营、销售;化工产品及原料(不含管理商品)的生产、经营;农业机械、农业生产资料的生产、经营;新技术在农业上的应用;农业技术培训;农副产品、林产品(不含管理商品)的代购、代销;花卉及种苗培育、种植、加工、经营,农业综合开发;农业、生物、化学、化工、花卉、医药、食品、饮料原料及添加剂等的技术开发、技术咨询、技术转让和项目的投资、管理、服务;酒店经营与管理;旅游资源及产品的投资、开发;信息咨询服务。出口商品目录(国家统一联合经营的11种出口商品除外);经营本企业和成员企业自产的植物生长调节剂、农药、肥料等生物制品、中成药及生物制药、农产品加工食品、环保产品、旅游工艺品及技术的出口业务;进口商品目录(国家实行核定公司经营的13种进口商品除外);经营本企业生产、科研所需原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务;房地产开发经营。",1998-09-16,1998-09-28,15,1998-08-27,网下定价发行,1.00,6000万,6.39,1240万,3.83亿,3.71亿,19.10,17.90,62.71%,20.17,--,0.19%
佳通轮胎股份有限公司,Giti Tire Corporation,桦林轮胎->ST桦林->*ST桦林->桦林轮胎->佳通轮胎,600182,S佳通,--,--,--,--,上交所主板A股,汽车行业,上海证券交易所,制造业-橡胶和塑料制品业,钱倍奋,李怀靖,邬晓芳,李怀靖,--,"杜宝财,孙晓屏,肖红英",021-22073132,giticorp@giti.com,021-22073002,www.gititirecorp.com,上海市长宁区临虹路280-2号,黑龙江省牡丹江市桦林镇,黑龙江,200335,3.40亿,912310002456121609,3359,15,上海市方达律师事务所,北京永拓会计师事务所(特殊普通合伙),"佳通轮胎股份有限公司是一家在上海证券交易所上市的中外合资股份有限公司,主营生产销售各类汽车轮胎。公司前身为桦林轮胎股份有限公司,是经黑龙江省经济体制改革委员会黑体改复[1993]335号和503号文批准,由桦林集团有限责任公司联合黑龙江省龙桦联营经销公司等五家单位共同发起,以定向募集方式设立的股份制企业。公司股票于1999年5月7日在上海证券交易所挂牌交易。","生产销售轮胎、轮胎原辅材料,生产橡胶工业专用设备。经营本企业自产产品及技术的出口业务及其生产、科研所需的原辅材料,仪器仪表、机械设备、零配件及技术的进出口业务及提供相关的咨询、管理服务。",1993-06-08,1999-05-07,15.5,1999-04-12,网下定价发行,1.00,1.20亿,3.36,1680万,4.03亿,3.86亿,5.33,5.35,73.54%,5.48,--,0.37%
广东生益科技股份有限公司,"SHENGYI TECHNOLOGY CO.,LTD.",生益股份->生益科技->G生益,600183,生益科技,--,--,--,--,上交所主板A股,电子元件,上海证券交易所,制造业-计算机、通信和其他电子设备制造业,陈仁喜,刘述峰,唐芙云,刘述峰,--,"李军印,欧稚云,陈新,储小平",0769-22271828-8225,tzzgx@syst.com.cn,0769-22780280,www.syst.com.cn,广东省东莞市万江区莞穗大道411号,东莞市松山湖高新技术产业开发区工业西路5号,广东,523039,22.8亿,91441900618163186Q,9040,18,广东中信协诚律师事务所,广东正中珠江会计师事务所(特殊普通合伙),"广东生益科技股份有限公司创始于1985年,是集研发、生产、销售、服务为一体的全球电子电路基材核心供应商。经过三十余年的发展,通过生益人的不断努力,生益覆铜板板材产量从建厂之初的年产60万平方米发展到2017年度的8100多万平方米。根据美国Prismark调研机构对于全球硬质覆铜板的统计和排名,从2013年至2017年,生益科技硬质覆铜板销售总额已跃身全球第二。生益科技集团总部坐落于中国广东东莞,先后在咸阳、苏州、香港、台湾、常熟、南通和九江等地建立了全资子公司和控股子公司,集团员工近万人。生益科技技术力量雄厚,先后开发出多种在世界范围内广泛应用的高科技产品,由国家科技部于2011年批准组建“国家电子电路基材工程技术研究中心”,并于2016年获得“国家认定企业技术中心”之荣誉。同时,公司还设立了博士后科研工作站和广东省院士专家企业工作站,积极主导制定相关国际标准、国家标准和行业标准。","设计、生产和销售覆铜板和粘结片、印制线路板、陶瓷电子元件、液晶产品、电子级玻璃布、环氧树脂、铜箔、电子用挠性材料、显示材料、封装材料、绝缘材料,自有房屋出租。从事非配额许可证管理、非专营商品的收购出口业务。提供产品服务、技术服务、咨询服务、加工服务和佣金代理(拍卖除外)。",1985-06-27,1998-10-28,14.5,1998-09-16,网下定价发行,1.00,8500万,4.18,1105万,3.55亿,3.44亿,7.28,7.39,63.11%,7.97,--,0.26%
北方光电股份有限公司,"North Electro-Optic Co.,Ltd.",新华光->S新华光->新华光,600184,光电股份,--,--,--,--,上交所主板A股,航天航空,上海证券交易所,制造业-专用设备制造业,张百锋,李克炎,张沛,李克炎,籍俊花,"张国玉,张明燕,陈友春",029-82537951,newhgzqb@163.com,029-82526666,"www.sicong.com,www.northeo.com",陕西省西安市长乐中路35号,湖北省襄阳市长虹北路67号,湖北,710043,5.09亿,914200007220290598,2587,17,陕西岚光律师事务所,致同会计师事务所(特殊普通合伙),"北方光电股份有限公司(以下简称“光电股份”)隶属于中国兵器工业集团公司,是国内光电武器装备系统科研、生产的重要基地,是国内外光学材料科研生产的主要供应商。光电股份成立于2010年12月,其前身是有着60年发展历程的“西安北方光电有限公司”。2010年8月31日,经中国证监会批准,通过定向增发企业重组为北方光电股份有限公司。光电股份以创新发展历程为厚积,专注于光电领域的研发和制造,不断提升科研开发水平,打造领先的核心技术能力,具备尖端的科研开发能力、先进的加工制造技术、领先的计量检测水平,拥有一批达到国际水平的科研、生产、试验设备,形成了较为雄厚的产品研发、制造及试验能力。所拥有的国防科技工业认定企业技术中心、博士后科研工作站、国家高技能人才培训基地、特有工种职业技能鉴定站等一大批技术技能人才培育机构为公司的发展储备了强大的技术能量和人力资本,为公司的持续发展奠定了坚实的基础。公司始终坚持以改革和发展为动力,以服务于国防建设和国民经济建设为己任,致力于打造有抱负、负责任、受尊重的兵器战略团队,不断强化科技创新能力,强化专业优势发挥,全面履行好政治责任、经济责任和社会责任,为成就行业领先、国际知名的光电企业美好愿景而奋力奋斗!",军用光电装备、光电仪器产品、信息技术产品、太阳能电池及太阳能发电系统、光学玻璃、光电材料与元器件、磁盘微晶玻璃基板的开发、设计、加工制造及销售;铂、铑贵金属提纯、加工;陶瓷耐火材料生产、销售;计量理化检测、设备维修;经营本企业自产产品及技术的出口业务;房屋租赁;经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进出口业务(国家限定公司经营和国家禁止进出口的商品及技术除外);与上述业务相关的技术开发、技术转让、技术咨询与服务;其他法律许可的范围。,2000-08-31,2003-11-06,19.37,2003-10-22,定向配售,1.00,3000万,6.14,957万,1.84亿,1.75亿,10.50,10.71,51.96%,11.10,--,--
格力地产股份有限公司,"Gree Real Estate Co.,Ltd",海星科技->G海星->海星科技->*ST海星,600185,格力地产,--,--,--,--,上交所主板A股,房地产,上海证券交易所,房地产业-房地产业,林强,鲁君四,邹超,鲁君四,魏烨华,"方军雄,袁彬,刘兴祥",0756-8860606,gldc@greedc.com,0756-8309666,www.greedc.com,广东省珠海市石花西路213号,珠海市横琴新区宝华路6号105室-23182,广东,519020,20.6亿,91440400628053925E,1643,15,广东莱特律师事务所,致同会计师事务所(特殊普通合伙),格力地产股份有限公司是一家房地产业和海洋经济产业的集团化企业。,实业投资、资产经营、房地产开发经营、物业管理、国内贸易(除专项规定外)、建筑材料的批发零售、代购代销。,1999-06-09,1999-06-11,17,1999-05-26,网下定价发行,1.00,6800万,4.68,1123万,3.18亿,3.08亿,19.80,18.57,72.98%,20.00,--,0.23%
莲花健康产业集团股份有限公司,Lotus Health Group Company,莲花味精->S莲花味->莲花味精->莲花健康,600186,*ST莲花,--,--,--,--,上交所风险警示板A股,食品饮料,上海证券交易所,制造业-食品制造业,韩安道,王维法,罗贤辉,王维法,宋伟,"陈茂新,吴志伟,汪和俊",0394-4298666,lhg@mylotushealth.com,0394-4298899,www.mylotushealth.com,河南省项城市莲花大道18号,河南省项城市莲花大道18号,河南,466200,13.8亿,914100007067847325,9191,17,河南陆达律师事务所,中兴财光华会计师事务所(特殊普通合伙),"莲花健康产业集团股份有限公司(原河南莲花味精股份有限公司)创建于1983年,于1998年8月在上海证券交易所挂牌上市,是国务院重点扶持发展的520家企业之一,是味精行业一家全国首批41家国家商标战略实施示范企业,拥有国家级企业技术中心、博士后科研工作站及中国合格评定国家认可委员会认可的检测中心。2015年初,联合睿康集团入主莲花,依照“全球资源,一个标准”理念,在保持氨基酸生物发酵技术和调味品生产的传统优势基础上,建立“食品营养谱系”和“人类健康谱系”两大系统工程,构建以“健康产品源、食品安全和营养检测管理体系、土地植物营养、综合智慧农业、创新金融、现代C2B、健康服务解决方案”的“七朵莲花”为核心的大健康产业生态系统,实现农业和食品智慧生产供应及人类健康个性化服务的长远目标。随着社会进步和经济水平的提高,人们的消费理念不断转变提升,对消费品的要求越来越高,不仅仅满足于味觉、视觉等基本需求,更注重产品的绿色、环保、安全,健康理念,追逐健康成为一种新的时尚。在此背景下,健康产业迎来发展机遇。满足和引领社会大众的消费需求,成为企业的一项责任,同时对于推动社会的健康和谐发展,具有深远意义。",保健食品的生产、销售;谷氨酸钠、谷氨酸等氨基酸、葡萄糖、方糖、面粉、谷朊粉、淀粉、素食、预包装食品、散装食品、调味料、复合调味酱、食用油、味精、鸡精、酱油、醋、其他粮食加工品(谷物粉类制成品)的生产、销售及相关副产品的生产、销售;检测技术服务;饲料、肥料、土壤调理剂的生产、销售;环保产品的生产、销售;普通货运(限分支机构经营);生物工程的科研(国家专项规定的除外);仓储(除可燃物资);设备租赁;进出口业务(国家限定公司经营或者禁止进出口的商品及技术除外);电子商务。,1998-07-02,1998-08-25,13.5,1998-06-15,网下定价发行,1.00,1.00亿,7.01,2097万,7.01亿,6.59亿,10.78,10.22,49.72%,11.00,--,0.80%
黑龙江国中水务股份有限公司,"Heilongjiang Interchina Water treatment Co.,Ltd.",黑龙股份->*ST黑龙->S*ST黑龙->ST黑龙->ST国中,600187,国中水务,--,--,--,--,上交所主板A股,公用事业,上海证券交易所,电力、热力、燃气及水生产和供应业-水的生产和供应业,丁宏伟,尹峻,庄建龙,尹峻,张茜,"李轶梵,金忠德,赵兰蘋",021-62265371,beijing@interchina.com,021-62187072,www.interchinawater.com,上海市闵行区联航路1188号1幢西楼2层,黑龙江省齐齐哈尔市龙沙区卜奎大街与龙华路交汇处(新玛特购物休闲广场)03单元25层08号,黑龙江,201112,16.5亿,91230200702847345E,878,16,上海市通力律师事务所,中准会计师事务所(特殊普通合伙),"黑龙江国中水务股份有限公司的主营业务为污水处理、自来水供应和环保工程技术服务,是国内拥有较完整产业链、具备全国范围内投资运营能力的水务环保企业。公司的主营业务既有稳定的水务项目建设和运营业务,也有高附加值的环保工程技术服务业务。通过各项业务在技术、客户、销售网络等方面的深入互动和资源配置,公司可以为政府和企业客户提供一揽子的环境综合治理解决方案,充分发挥公司集投资、设计、工程、产品、咨询、运营为一体的产业链综合优势。","投资、建设、经营城市市政供排水项目及工程、生态环境治理工程,相关供排水技术和设备的开发、生产与销售,并提供相关的供排水技术咨询服务(不含国家禁止和限制类项目)。",1998-11-03,1998-11-11,14.12,1998-10-05,网下定价发行,1.00,5000万,4.57,1150万,2.29亿,2.17亿,10.38,12.59,71.93%,12.59,--,0.14%
兖州煤业股份有限公司,Yanzhou Coal Mining Company Limited,兖州煤业->G兖煤,600188,兖州煤业,--,--,01171,兖州煤业股份,上交所主板A股,煤炭采选,上海证券交易所,采矿业-煤炭开采和洗选业,吴向前,李希勇,靳庆彬,李希勇,商晓宇,"孔祥国,潘昭国,戚安邦,蔡昌",0537-5382319,yzc@yanzhoucoal.com.cn,0537-5383311,www.yanzhoucoal.com.cn,中国山东省邹城市凫山南路298号,中国山东省邹城市凫山南路298号,山东,273500,49.1亿,91370000166122374N,64473,23,北京市金杜律师事务所,信永中和(香港)会计师事务所有限公司,"兖州煤业股份有限公司总部位于中国文化圣地、孔孟之乡—山东济宁。公司主要拥有煤炭、煤化工、电力、装备制造、物流贸易、金融投资等产业。荣获世界级“全球卓越绩效奖最高奖”,入选2015年度“中国上市公司资本品牌价值百强”,入选2015年度“普氏全球能源企业250强”,荣获中国上市公司协会“2015最受投资者尊重的百家上市公司奖”,荣获《董事会》杂志“第十一届中国上市公司董事会金圆桌奖—优秀董事会奖”,荣获中国社科院企业社会责任研究中心“沪深300上市公司社会责任能力成熟度第4名”,荣获山东省总工会“推行协商民主强化社会责任先进单位”等。","煤炭采选、销售(其中出口应按国家现行规定由拥有煤炭出口权的企业代理出口);水煤浆的销售;以自有资金对外投资及投资咨询;委托经营;矿区自有铁路货物运输;公路货物运输;港口经营;矿山机械设备制造、销售、租赁、维修、安装、撤除;其他矿用材料的生产、销售;销售、租赁电器设备及销售相关配件;矿山工程施工总承包、机电工程施工承包;工程机械设备租赁;金属材料、机电产品、建筑材料、木材、橡胶制品的销售;冷补胶、肥皂、锚固剂、涂料的制造、销售;煤矿综合科学技术服务;矿井救护技术服务;矿区内的房地产开发,房屋租赁,并提供餐饮、住宿等相关服务;煤矸石系列建材产品的生产、销售;焦炭、铁矿石、有色金属的销售;货物和技术进出口;仓储(不含危险化学品);汽车修理;劳务派遣;物业管理服务;园林绿化;污水处理;供热;工业旅游;企业内部人员培训(救护队员技能培训、生产技术培训、安全培训);计量检定、理化检测、无损检测、分析化验、安全生产检测检验;企业管理;企业管理咨询;企业策划、设计;市场调查;经济贸易咨询;技术推广、技术服务;润滑油、润滑脂、化学原料及化工产品(不含危险化学品)、涂料、劳动防护用品、纺织产品、文教用品、塑料制品、仪器仪表、水泥、耐火材料及制品的销售(依法须经批准的项目,经相关部门批准后方可开展经营活动)",1997-09-25,1998-07-01,--,1998-06-08,网上定价发行,1.00,8000万,3.37,--,2.70亿,2.60亿,8.88,7.69,59.26%,9.00,--,0.28%
吉林森林工业股份有限公司,"Jilin Forest Industry Co.,Ltd.",吉林森工->G森工,600189,吉林森工,--,--,--,--,上交所主板A股,食品饮料,上海证券交易所,制造业-酒、饮料和精制茶制造业,王尽晖,姜长龙,时军,姜长龙,金明,"郑志斌,丁俊杰,张忠伟",0431-88912969,gfgs@jlsg.com.cn,0431-88930595,www.jlsg.com.cn,吉林省长春市朝阳区延安大街1399号,吉林省长春市朝阳区延安大街1399号,吉林,130012,7.17亿,91220000702425994U,2154,17,吉林今典律师事务所,瑞华会计师事务所(特殊普通合伙),"吉林森林工业股份有限公司(以下简称“公司”)于1998年在上海证交所上市,股票代码600189,总部设在长春市。筚路蓝缕,渐入辉煌。公司坚持多元发展、不断壮大,现已拥有泉阳泉饮品公司、苏州园区园林工程公司、北京霍尔茨门业公司等11家专业分子公司,分布在吉林、江苏、北京、广东、上海等省市地区。20年来,公司累计完成工业总产值206.07亿元,实现销售收入 207.37亿元,利润12.59亿元,上缴税金1.43亿元。先后荣获 “绿色中国特别贡献奖” “国家林业重点企业”“2018年木门窗国家品牌培育计划单位”等荣誉称号。 吉林森工秉持“一主一辅”产业发展战略,以生态修复型园林绿化产业为依托,兼顾发展木门产业挺进绿色智能家居领域,围绕产业发展方向整合资源、发展实业、做大市值,倾力打造绿色产品和绿色人文环境引领者形象。吉林森工致力于完成“两个转变”——产业由资源消耗型向绿色先导型转变,经营由生产管理型向市场导向型转变。努力将吉林森工建成产业方向清晰、体制机制优化、管理科学规范、经济效益优异、发展后劲充沛、社会声誉良好、市值突破百亿的国内一流上市企业。",自营和代理各类商品和技术的进出口(但国家限定公司经营或禁止进出口的商品和技术除外);林化产品加工和销售;食用菌、动植物、林副土特产品、机械、建材、房屋维修;信息技术;森林采伐、木材、木制品、人造板、保健食品加工和销售(以上各项由分支机构凭许可证经营);建筑工程专业承包(凭资质证书经营);商务信息咨询;煤炭经营;钢材、木材、粮油收购和销售;五金工具、金属材料、黄金制品、白银制品、珠宝首饰销售;化工原料、化工产品(危险化学品、监控化学品、民用爆炸品、易制毒化学品除外)销售。,1998-09-29,1998-10-07,13.13,1998-09-03,网下定价发行,1.00,8500万,5.35,1486万,4.55亿,4.40亿,8.88,8.12,50.99%,9.00,--,0.35%
锦州港股份有限公司,"Jinzhou Port Co.,Ltd.",锦州港->ST锦州港->锦州港->G锦州港,600190,锦州港,900952,锦港B股,--,--,上交所主板A股,港口水运,上海证券交易所,交通运输、仓储和邮政业-水上运输业,刘辉,徐健,李桂萍,徐健,赵刚,"张国峰,曹坚,王君选,苗延安",0416-3586462,JZP@jinzhouport.com,0416-3582431,www.jinzhouport.com,锦州经济技术开发区锦港大街一段1号,锦州经济技术开发区锦港大街一段1号,辽宁,121007,20.0亿,91210700719686672T,1549,29,北京德恒律师事务所,大华会计师事务所(特殊普通合伙),"锦州港股份有限公司,锦州港位于辽宁省西部、渤海西北部的锦州湾北岸,地处关内外交通要冲——辽西走廊的上咽,是距辽宁西部,吉林、黑龙江两省中西部、内蒙东部、华北北部乃至蒙古国、俄罗斯西伯利亚地区便捷的进出海口,是辽宁省重点发展的北方区域性港口。 锦州港于1986年10月开工建设,1990年10月正式通航,同年12月被国家批准为一类开放商港。1993年锦州港进行股份制改造,成为中国家政企分开实行股份制经营的港口。1998年5月和1999年6月,锦州港B、A两只股票先后在上海证券交易所上市。1998年12月,锦州港在同行业中率先整体通过ISO9002国际质量体系认证,2010年12月,锦州港通过了中国船级社质量认证公司的质量、环境、职业健康安全管理体系认证。 公司成立以来,科学管理、规范运行。目前拥有泊位24个,其中包括25万吨级油泊位、10万吨级散杂货泊位和10万吨级集装箱专用泊位。油品、粮食、矿粉、煤炭、钢材、化肥及内贸集装箱是锦州港的优势货源。锦州港现已具备内外贸集装箱和油品、化工品、大宗散杂货、件杂货的装卸、仓储、运输、散货灌包配送等综合物流服务功能。目前锦州港的运输航线通达中国南北方各个港口,并和亚洲、欧洲、大洋洲、美洲、非洲等100多个国家和地区建立通航关系。","港务管理,港口装卸,水运辅助业(除客货运输);公路运输;物资仓储(危险品除外);原油仓储(仅限于在锦州港原油罐区1#罐组T101-T106储罐、锦州港原油罐区2#罐组T201-T206储罐业务);港口设施服务;港口设施、设备和港口机械的租赁、维修服务;船舶港口服务;自有房屋、自有场地租赁;计算机及通讯设备租赁;供水、供电、供热、供蒸汽,物业管理;技术服务;劳务派遣;企业管理服务;建筑材料、农副产品、钢材、矿产品销售;煤炭批发经营;从事货物与技术的进出口业务;焦炭、金属材料、有色金属(除危险品)、木材、纸浆、橡胶制品、管材、机电设备、润滑油、化工产品(除危险品)销售;土地开发整理;房地产开发与经营;经营本企业自产产品及相关技术的出口业务;经营本企业生产科研所需的原辅材料、机械设备、仪器仪表及相关技术进口业务(国家限定公司经营和国家禁止进出口的商品及技术除外);经营进料加工和“三来一补”业务;物流服务,投资管理咨询;水上移动通信业务;经济信息咨询服务;会议服务;展览展示服务;法律法规禁止的不得经营,应经审批的,未获审批前不得经营。",1993-02-09,1999-06-09,--,1999-05-07,网上定价发行,1.00,6000万,4.05,--,2.43亿,2.34亿,7.88,9.07,73.68%,9.10,--,0.43%
包头华资实业股份有限公司,"Baotou Huazi Industry Co.,Ltd.",华资实业->G华资,600191,华资实业,--,--,--,--,上交所主板A股,食品饮料,上海证券交易所,制造业-农副食品加工业,赵建忠,宋卫东,李怀庆,宋卫东,刘秀云,"张毅,徐勇,于洋",0472-6957558,hzsy@huazi.com,0472-4190473,www.huazi.com,内蒙古自治区包头市东河区,内蒙古自治区包头市国家稀土高新技术产业开发区南路,内蒙古,014045,4.85亿,91150000701462216T,504,17,北京市君致律师事务所,中准会计师事务所(特殊普通合伙),"包头华资实业股份有限公司总部坐落于包头市东河区,毗邻G6高速公路、110国道和京包铁路,1998年采取社会募集方式成立,同年上市。公司前身包头糖厂是我国北方大型糖厂之。华资实业为繁荣地方经济做出了杰出贡献,多次受到国家、自治区和包头市的表彰。公司“草原”商标被国家工商总局评定为“中国驰名商标”。2012年2月,华资实业通过国家商务部华商储备商品管理中心的考察,获得国家食糖储备资质,开始承担国家中央糖储备任务,成为内蒙古自治区一家获此资质企业。","生产、销售:糖、废蜜;经营本企业生产的产品和相关技术的出口业务;经营本企业生产所需原辅材料,机械设备、仪器仪表及零配件的进口业务;开发本企业对外合作生产和补偿贸易业务。",1998-11-30,1998-12-10,13.2,1998-11-02,网下定价发行,1.00,7000万,4.30,1200万,3.01亿,2.86亿,7.80,7.57,60.04%,7.95,--,0.26%
兰州长城电工股份有限公司,"Lanzhou GreatWall Electrical Co.,Ltd.",长城电工->G电工,600192,长城电工,--,--,--,--,上交所主板A股,输配电气,上海证券交易所,制造业-电气机械和器材制造业,郭满元,张志明,张启龙,张志明,周济海,"雷海亮,李雪峰,贾洪文",0931-2316391,gwe@chinagwe.com,0931-2316391,www.chinagwe.com,兰州市七里河区瓜州路4800号国投大厦13楼,兰州市城关区农民巷215号,甘肃,730050,4.42亿,91620000710371367P,3853,15,甘肃正天合律师事务所,大信会计师事务所(特殊普通合伙),"兰州长城电工股份有限公司(简称“长城电工”)是甘肃省政府国资委监管的国有控股上市公司,控股股东为甘肃省国有资产投资集团有限公司,1998年12月在上海证券交易所挂牌上市(代码为600192)。长城电工主要从事高中低压开关成套设备、高中低压电器元件及关键零部件、电气传动自动化及新能源控制系统、智能低压成套配电装置及母线槽等电工电器类产品的研发、制造、销售和服务,兼营果蔬汁加工、水电运营管理及新能源电池等业务。",电器机械及器材、电器元件的研究开发、生产、批发零售;设计、制作、发布国内各类广告;商业贸易;房屋租赁、设备租赁;服务费用的收取;浓缩果蔬汁、香精、饮料的加工、灌装、销售(含出口);农副产品(不含粮食)的收购、初加工、销售(含出口);苗木种植及销售。,1998-12-10,1998-12-24,14.8,1998-11-24,网下定价发行,1.00,8500万,5.43,1785万,4.62亿,4.44亿,9.07,9.27,53.35%,9.56,--,0.27%
上海创兴资源开发股份有限公司,"Shanghai Prosolar Resources Development Co.,Ltd.",厦门大洋->创兴科技->G创兴->创兴科技->创兴置业->创兴资源->*ST创兴,600193,ST创兴,--,--,--,--,上交所风险警示板A股,综合行业,上海证券交易所,建筑业-建筑装饰和其他建筑业,阙江阳,翟金水,连福汉,翟金水,--,"廖建宁,叶峰",021-58125999,dayang@public.xm.fj.cn,021-58125066,--,上海市浦东新区康桥路1388号,上海市浦东新区康桥路1388号3楼A,上海,201315,4.25亿,913100001551810371,67,9,上海市上正律师事务所,广东正中珠江会计师事务所(特殊普通合伙),上海创兴资源开发股份有限公司主要通过上海岳衡建筑工程有限公司开展建筑及装饰材料、智能家居及家电的贸易性业务。,"矿业投资、实业投资,从事货物及技术的进出口业务。【企业经营涉及行政许可的,凭许可证件经营】。",1996-08-25,1999-05-27,18,1999-04-05,网下定价发行,1.00,2300万,6.38,690万,1.47亿,1.40亿,18.18,16.33,68.06%,18.87,--,0.21%
中牧实业股份有限公司,"China Animal Husbandry Industry Co.,Ltd.",中牧股份->G中牧,600195,中牧股份,--,--,--,--,上交所主板A股,农药兽药,上海证券交易所,制造业-医药制造业,吴冬荀,王建成,郭亮,王建成,陈苏君,"郑鸿,岳虹,马战坤",010-63701951,600195@cahic.com,010-63702196,www.cahic.com,北京市丰台区南四环西路188号八区16-19号楼,北京市丰台区南四环西路188号八区16-19号楼,北京,100070,8.42亿,9111000071092358XT,4236,16,北京金诚同达律师事务所,中审众环会计师事务所(特殊普通合伙),"中牧实业股份有限公司是中央农业企业中国农业发展集团有限公司作为实际控制人管理的央企控股上市公司中牧股份是中国兽药行业和中国饲料行业的骨干生产企业,也是农业部等八部委认定的农业产业化国家重点企业、农业部指定的高致病性禽流感、口蹄疫等重大动物疫病疫苗定点生产企业和北京市高新技术企业,主营业务涵盖兽用生物制品、兽药、饲料及饲料添加剂、原料贸易等四大核心业务板块。中牧股份所属骨干兽用生物制品企业具有80多年的制造历史,历经多年发展,中牧股份已成为我国动物保健品和动物营养品领域品种齐全、规模庞大、技术装备和工艺先进的产业集群,拥有20余家全资及控、参股企业,包括8家兽用生物制品生产企业,10家饲料及添加剂生产贸易企业,5家化药生产企业。中牧股份重视科技创新,始终致力于新型、安全、高效、绿色产品的研发,组建成立中牧研究院和畜禽疫病诊断中心,拥有国家认定企业技术中心、北京市工程技术研究中心、农业部重点实验室和博士后工作站各1个,具有较雄厚的研发实力和技术储备,与国内外多家科研院所和行业企业开展密切合作,共建研发基地和产学研联合体,近年来取得丰硕研发成果。",加工、生产饲料原料、饲料、饲料添加剂、动物保健品、畜禽制品及其相关产品;销售兽药、饲料原料、饲料、饲料添加剂、动物保健品、畜禽制品及其相关产品、畜牧业生产资料;研究开发饲料新品种、饲料新技术;粮食收购;出租商业、办公用房;与以上项目相关的技术咨询、服务;货物进出口、技术进出口、代理进出口。,1998-12-25,1999-01-07,17.6,1998-11-18,网下定价发行,1.00,8000万,6.28,1520万,5.02亿,4.87亿,11.30,10.38,53.67%,11.50,--,0.26%
